DLSOCTVProces
682.000000 684.000000 488.000000 box dimensions in microns
10   10   10	number of tissue points in x,y,z directions
100.	outer bound distance (100. in test case)
10.	max. segment length.  (5. in test case)
5 nodsegm, max. allowed number of segments per node
5078 total number of segments
name type from  to  diam flow HD
561 4 156 61  24.200 -8712.893  0.4000
562 4 125 2451   6.200  -9.669  0.4000
567 4 2451 126   6.200  -9.669  0.4000
568 4 26 127   6.700  29.903  0.4000
571 4 16 2459   6.200  -6.714  0.4000
577 4 128 2459   6.200   6.714  0.4000
581 4 116 16   5.200  39.865  0.4000
582 4 68 129   8.200 289.492  0.4000
585 4 68 21   5.200 -66.521  0.4000
587 4 69 2470   6.200 -146.559  0.4000
593 4 130 2470   6.200 146.559  0.4000
594 6 69 2472   7.200 -172.665  0.4000
595 6 2472 2473   7.200 -172.665  0.4000
596 6 2473 131   7.200 -172.665  0.4000
597 4 20 132  11.700 -216.935  0.4000
598 6 20 2474  14.200 -1598.458  0.4000
599 6 2474 133  14.200 -1598.458  0.4000
600 4 132 58   6.200 -56.214  0.4000
605 4 108 132   6.200 160.721  0.4000
606 4 81 134  34.700 13744.032  0.4000
609 4 81 135  38.200 -10165.525  0.4000
610 4 2489 2483  18.200 2399.211  0.4000
613 4 2483 2487  18.200 2399.211  0.4000
617 4 2487 137  18.200 2399.211  0.4000
620 4 2489 2493  18.200 -2399.211  0.4000
624 4 2493 2497  18.200 -2399.211  0.4000
628 6 2497 138  18.200 -2399.211  0.4000
629 4 122 2502   8.200 -13.936  0.4000
634 4 2502 60   8.200 -13.936  0.4000
636 4 122 123   6.200   4.490  0.4000
643 4 11921 2513  26.200 -6344.512  0.4000
646 4 2513 2517  26.200 -6344.512  0.4000
650 4 2517 139  26.200 -6344.512  0.4000
656 4 128 15   9.200 101.665  0.4000
657 6 15 2523   8.700  29.639  0.4000
658 6 2523 2524   8.700  29.639  0.4000
659 6 2524 140   8.700  29.639  0.4000
660 6 26 2525   7.200 -32.361  0.4000
661 6 2525 2526   7.200 -32.361  0.4000
662 6 2526 2527   7.200 -32.361  0.4000
663 4 2527 141   7.200 -32.361  0.4000
664 4 108 2531   5.200 -30.212  0.4000
668 6 2531 2532   5.200 -30.212  0.4000
669 6 2532 2533   5.200 -30.212  0.4000
670 6 2533 2534   5.200 -30.212  0.4000
671 6 2534 2535   5.200 -30.212  0.4000
672 4 2535 370   5.200 -30.212  0.4000
673 4 138 2539   7.200 -88.226  0.4000
678 4 2539 143   7.200 -88.226  0.4000
679 4 135 2543  30.200 -10123.291  0.4000
683 4 2543 2547  30.200 -10123.291  0.4000
687 4 2547 2548  30.200 -10123.291  0.4000
688 6 2548 2549  30.200 -10123.291  0.4000
689 6 2549 144  30.200 -10123.291  0.4000
690 4 145 146   8.700 111.049  0.4000
691 4 145 2554   8.200 -125.350  0.4000
696 4 2554 147   8.200 -125.350  0.4000
699 4 11668 2670  31.200 1625.523  0.4000
701 4 77 2561   5.200  14.256  0.4000
705 4 2561 148   5.200  14.256  0.4000
706 4 77 2567   6.200 116.500  0.4000
712 4 2567 2569   6.200 116.500  0.4000
714 6 2569 2570   6.200 116.500  0.4000
715 6 2570 149   6.200 116.500  0.4000
716 4 71 150   6.200 -60.218  0.4000
720 4 106 151   5.200   2.514  0.4000
723 4 106 2579   5.200 -79.382  0.4000
727 4 2579 152   5.200 -79.382  0.4000
730 4 135 3410   6.200 -42.234  0.4000
732 4 154 143   6.200  21.908  0.4000
738 4 134 2591  31.200 -14044.853  0.4000
742 4 2591 137  31.200 -14044.853  0.4000
746 4 134 155  41.200 27788.885  0.4000
750 4 112 157   6.200 -46.907  0.4000
754 4 112 147   7.200 -168.444  0.4000
755 4 145 172   7.200  14.300  0.4000
756 4 146 159  10.200  95.288  0.4000
760 4 146 2606   7.200  15.761  0.4000
764 4 2606 160   7.200  15.761  0.4000
766 4 159 2611   6.700  31.751  0.4000
770 4 2611 2615   6.700  31.751  0.4000
774 4 2615 2619   6.700  31.751  0.4000
778 4 2619 2957   6.700  31.751  0.4000
779 4 11668 2623  31.200 -1625.523  0.4000
783 4 2623 162  31.200 -1625.523  0.4000
786 4 163 127   5.200 -23.156  0.4000
787 4 164 154   4.200  36.141  0.4000
791 4 11927 165   6.200 268.912  0.4000
795 4 166 11927   6.200 268.912  0.4000
796 4 154 167   4.700  14.233  0.4000
801 4 155 2641  10.200 -710.537  0.4000
805 6 2641 2642  10.200 -710.537  0.4000
806 6 2642 168  10.200 -710.537  0.4000
807 6 60 2643  15.200 -2440.364  0.4000
808 6 2643 169  15.200 -2440.364  0.4000
812 4 2646 2651   6.200 -50.562  0.4000
817 4 2651 170   6.200 -50.562  0.4000
820 4 75 2654   5.200 -23.341  0.4000
821 6 2654 2655   5.200 -23.341  0.4000
822 4 2655 2659   5.200 -23.341  0.4000
826 6 2659 2660   5.200 -23.341  0.4000
827 4 2660 171   5.200 -23.341  0.4000
828 4 75 172   4.200 -12.622  0.4000
834 4 2665 173   6.200  -3.328  0.4000
842 4 175 2670  31.200 -1625.523  0.4000
843 4 90 100   8.200 -12.896  0.4000
847 4 163 37   6.200 136.438  0.4000
850 4 176 163   4.700 113.282  0.4000
851 6 127 2677   4.200   6.747  0.4000
852 4 2677 3221   4.200   6.747  0.4000
855 4 92 2683  26.700 23382.674  0.4000
859 4 2683 139  26.700 23382.674  0.4000
860 4 92 2687  42.200 34354.746  0.4000
864 4 2687 11673  42.200 34354.746  0.4000
866 4 11673 2700  42.200 34354.746  0.4000
867 4 71 2693   5.700 -49.185  0.4000
871 4 2693 179   5.700 -49.185  0.4000
876 4 55 180   7.200 224.648  0.4000
880 4 2700 2704  42.200 34354.746  0.4000
884 4 2704 2842  42.200 34354.746  0.4000
886 4 138 2709   6.200   6.794  0.4000
890 4 2709 2713   6.200   6.794  0.4000
894 4 2713 181   6.200   6.794  0.4000
897 4 58 2719   5.200 -63.129  0.4000
901 6 2719 2720   5.200 -63.129  0.4000
902 4 2720 2724   5.200 -63.129  0.4000
906 4 2724 182   5.200 -63.129  0.4000
907 4 164 2942   5.700  21.379  0.4000
908 4 164 2729   8.200 -57.520  0.4000
913 4 2729 184   8.200 -57.520  0.4000
914 4 185 2733   6.200 -14.100  0.4000
918 6 2733 2734   6.200 -14.100  0.4000
919 4 2734 4266   6.200 -14.100  0.4000
922 4 185 187   8.200 -131.954  0.4000
923 4 187 2741   6.200 -141.210  0.4000
928 4 2741 188   6.200 -141.210  0.4000
929 4 187 189   7.200   9.256  0.4000
933 4 143 3337   6.200 -66.318  0.4000
936 4 137 191  30.700 -11645.643  0.4000
939 4 109 192   5.700 -38.249  0.4000
944 4 109 193   8.700 -131.386  0.4000
949 4 191 156  27.200 -11389.581  0.4000
954 4 191 3754   7.200 -256.061  0.4000
957 6 29 2763  21.200 -5809.538  0.4000
958 6 2763 2764  21.200 -5809.538  0.4000
959 6 2764 195  21.200 -5809.538  0.4000
960 4 156 2769  16.200 -2676.688  0.4000
965 4 2769 196  16.200 -2676.688  0.4000
968 4 197 2774   4.700 -40.019  0.4000
971 6 2774 2775   4.700 -40.019  0.4000
972 6 2775 198   4.700 -40.019  0.4000
973 4 197 111   4.700  11.369  0.4000
978 4 197 94   8.200  28.651  0.4000
980 4 199 2785   6.200 -521.404  0.4000
985 4 2785 2787   6.200 -521.404  0.4000
987 6 2787 2788   6.200 -521.404  0.4000
988 6 2788 200   6.200 -521.404  0.4000
989 4 199 2793   7.200 -746.682  0.4000
